Długość Geograficzna;Szerokość Geograficzna;ID Słupka;Typ Przystanku
17.02664669;51.10794457;10240;0
17.05025152;51.09912756;20214;0
16.91713142;51.10898462;17505;3
17.04282290;51.12407030;20684;0
16.95486964;51.11862307;12125;3
17.05644786;51.05922026;26104;3
17.01738486;51.15143216;23151;3
17.11933747;51.15495660;29539;3
17.08374374;51.06360478;25306;3
17.00688891;51.05891787;26323;3
17.05490525;51.08288545;21157;3
16.87842822;51.14519157;18012;0
17.04578599;51.16284813;23558;3
16.96825341;51.07022608;17116;3
17.06510722;51.13916428;23715;3
17.06767259;51.09710375;25501;3
16.96401266;51.14112633;12610;0
17.03123301;51.14421879;23017;0
17.09399241;51.10626138;24511;3
16.97225648;51.11445016;12114;3
16.89924124;51.16749585;18709;3
17.01590504;51.07430192;11239;0
17.12787400;51.14232533;29326;3
16.92295120;51.12363307;17703;3
17.12441774;51.16186965;29508;3
16.97613239;51.06489632;16705;3
16.99051851;51.08476137;11745;3
17.00885403;51.06794440;16526;3
16.84874162;51.13514821;18318;3
16.96774684;51.12179578;12515;3
16.96479245;51.11376971;12108;3
16.94887638;51.15738763;18525;3
17.04769053;51.10991250;20304;3
16.98742500;51.06540713;16506;3
16.92885963;51.13892607;18017;0
17.01466028;51.09789936;11542;3
17.04642117;51.10157506;20329;3
16.95495766;51.12958934;12523;3
16.95636132;51.13224852;12528;3
16.97388104;51.13273705;12711;3
17.05468321;51.08299207;21015;0
17.04180448;51.08295661;21171;3
16.97291114;51.12251671;12514;3
16.99736432;51.06957334;16504;3
17.02971101;51.10788512;10016;0
16.85533001;51.14170868;18315;3
16.88502053;51.15347079;18125;3
17.03421196;51.11694920;20711;3
16.98975923;51.13220678;12320;3
16.96471815;51.11385799;12107;3
16.99244112;51.09041550;11652;0
17.01784800;51.09160631;11301;3
17.06624315;51.13882375;23716;3
17.13243271;51.15902621;29532;3
17.06520740;51.13176515;24111;3
16.89972510;51.14262875;18005;0
17.09115463;51.04781447;25313;3
17.03857899;51.10840398;10022;03
17.08989673;51.11687491;24207;0
17.09293958;51.06911564;25131;3
16.97108639;51.11923498;12533;3
16.97068639;51.10611533;12150;3
16.97270684;51.13293534;12602;0
17.00574316;51.13507182;23008;03
16.99365991;51.13747773;23302;3
16.89867028;51.13795930;18150;3
17.08484451;51.11199108;24221;0
17.12055035;51.15058006;29119;3
17.04387847;51.09164438;21124;3
17.00798764;51.10111679;11402;03
17.00000936;51.07132849;16502;3
16.92094721;51.14005617;18103;3
17.00044522;51.11606658;10508;3
16.96521794;51.12938769;12537;3
17.01770750;51.10899255;10554;3
17.03221102;51.05505438;26307;3
16.98032861;51.09424076;11659;0
16.94791686;51.14502755;18501;3
17.01013740;51.11990860;10527;3
17.05692794;51.11241850;20814;03
17.05457915;51.12847316;20630;0
16.98037615;51.09375557;11726;3
16.97074817;51.10506379;12153;3
17.12133497;51.11355449;24706;3
17.01617865;51.07477353;11377;3
16.94699382;51.12153714;12130;3
17.04336914;51.11697824;20905;3
16.95695003;51.09637806;17307;3
17.02688314;51.05467455;26311;3
16.97689015;51.13863427;12716;3
17.06430933;51.07866948;21154;3
17.14802053;51.14534175;29926;3
17.08776118;51.13189190;24012;0
17.09154329;51.07045982;25121;3
16.87715945;51.15994896;18375;3
16.93077865;51.12255054;17701;3
16.86536552;51.14809478;18303;3
17.09140065;51.09201659;25505;3
17.03222542;51.06539710;26303;3
17.03530936;51.10000181;10268;0
17.01049203;51.08422089;11211;0
16.99508019;51.17274889;23509;3
16.95045065;51.13609336;12409;0
16.99196391;51.09454007;11722;3
17.02944994;51.13717968;23172;3
17.04188263;51.14636189;23163;3
17.03649766;51.13509930;23122;3
17.01712401;51.09069019;11206;0
17.02072472;51.11215437;10501;3
17.09094843;51.10365177;24523;3
